Wall time,Step,Value
1700727696.7940917,0,2122179.0
1700727705.5374734,7,9442179.0
1700727720.0323608,29,4228578.0
1700727735.0757334,55,1950581.5
1700727750.348092,80,5445648.0
1700727765.1387043,103,2161395.5
1700727781.9441082,129,1588432.25
1700727795.0108383,150,1702774.0
1700727810.1950748,176,3815376.0
1700727824.5222056,201,2316537.5
1700727840.3615718,226,1795205.25
1700727855.2584472,249,1545231.0
1700727869.8167055,275,1157121.75
1700727885.379113,298,1280791.625
1700727899.7289314,321,1327898.125
1700727916.185147,346,1483715.75
1700727930.3307772,364,2545791.5
1700727947.1204314,388,2098117.5
1700727959.848944,410,2160616.0
1700727974.7231271,435,793696.5
1700727989.8628824,458,1005859.0
1700728005.3197489,481,1429123.75
1700728020.7412608,505,517238.0
1700728034.9740117,527,1423699.75
1700728050.6739707,549,1645400.375
1700728065.413022,570,1453768.25
1700728079.9147332,593,1370947.25
1700728096.556554,615,1011971.8125
1700728110.4132395,640,1309231.0
1700728124.5331578,660,1284451.875
1700728140.267555,685,775977.3125
1700728156.68373,708,997185.5
1700728169.8610065,732,1231542.5
1700728184.7614536,755,924292.9375
1700728200.6205184,779,956623.9375
1700728215.6345139,802,565629.75
1700728229.791369,823,824791.75
1700728245.0079567,847,483712.0
1700728260.0769575,870,3106403.0
1700728277.3489838,894,640898.375
1700728289.6927495,916,443041.0
1700728305.4286258,940,952564.6875
1700728320.0174513,963,1033266.375
1700728334.7777617,985,709949.875
1700728349.8554783,1009,1390914.375
1700728365.7414937,1031,1562677.0
1700728380.0258827,1053,588119.625
1700728395.3406768,1077,869691.875
1700728410.3122377,1100,648951.125
1700728425.14687,1123,543389.4375
1700728439.9574027,1147,684323.125
1700728454.5647042,1170,581609.625
1700728470.6951108,1194,763109.5
1700728485.1100411,1217,519336.40625
1700728500.5226998,1240,519964.03125
1700728514.8179612,1263,453151.6875
1700728530.8199866,1285,756925.375
1700728545.1906276,1308,1320878.75
1700728560.488967,1331,684218.0
1700728575.5303876,1356,955667.5
1700728590.5598757,1376,866548.75
1700728605.3484797,1400,533442.9375
1700728620.2477176,1422,674046.875
1700728635.5378568,1446,444289.25
1700728650.1859853,1469,589218.5
1700728667.231947,1491,1535752.75
1700728680.2745774,1513,606142.6875
1700728695.3423312,1536,411529.34375
1700728710.0734887,1558,489448.4375
1700728725.007326,1581,356804.90625
1700728740.6360738,1606,296954.75
1700728754.6798296,1626,1025830.875
1700728769.8900087,1650,305375.03125
1700728784.5138195,1672,416573.09375
1700728799.9512775,1696,655724.875
1700728815.4262764,1719,447926.875
1700728830.2236454,1742,776745.5
1700728845.8489869,1766,826843.9375
1700728859.9164088,1786,381117.8125
1700728874.9817612,1809,962020.5
1700728889.5609107,1831,404976.71875
1700728905.21814,1856,520333.5
1700728919.9424324,1878,1040141.1875
1700728935.138781,1901,566888.25
1700728949.6585824,1922,873063.25
1700728965.366727,1946,435996.4375
1700728980.2650642,1968,373215.375
1700728995.585816,1990,396508.125
1700729009.8202424,2013,942733.4375
1700729025.5126014,2035,439058.9375
1700729041.2591836,2059,306674.0625
1700729055.713436,2080,315712.4375
1700729070.059151,2104,514516.03125
1700729085.4670558,2126,345677.25
1700729099.8434718,2148,729796.25
1700729114.8712819,2171,767142.4375
1700729131.0607023,2194,615459.3125
1700729144.6197975,2217,335766.0
1700729159.9322045,2239,310087.875
1700729175.5877182,2263,404233.4375
1700729191.1566186,2284,684495.75
1700729205.9725845,2307,403048.78125
1700729219.8135571,2329,455897.75
1700729235.4064453,2353,667350.125
1700729249.7010293,2376,288157.53125
1700729266.7831736,2399,671305.1875
1700729280.7407775,2421,370290.84375
1700729294.965199,2444,590572.375
1700729310.291699,2468,332803.8125
1700729324.9284208,2489,971600.375
1700729340.973918,2514,288857.15625
1700729355.823306,2534,493706.5
1700729370.499073,2558,392617.625
1700729384.835731,2580,512316.0
1700729400.213522,2603,361964.65625
1700729414.7694352,2626,260462.78125
1700729430.43188,2649,169240.96875
1700729445.1784077,2672,690139.75
1700729460.801023,2694,300606.75
1700729475.2083392,2715,1438383.625
1700729490.0891085,2737,372877.34375
1700729506.0098627,2762,617176.0
1700729519.7216043,2782,865306.0625
1700729535.3634682,2807,340019.25
1700729550.7654269,2828,311248.9375
1700729564.9280143,2850,398610.625
1700729581.5326676,2873,368063.8125
1700729595.4377875,2894,420656.625
1700729609.9879942,2916,318907.46875
1700729625.6525323,2938,423864.375
1700729640.44077,2962,565895.75
1700729654.9643528,2983,281618.125
1700729670.4827874,3007,550580.0
1700729684.3990924,3029,423387.125
1700729700.8772728,3053,299953.53125
1700729714.3925617,3075,369821.0
1700729730.9879127,3098,604943.6875
1700729745.1157026,3121,290430.0
1700729759.6067944,3143,220464.96875
1700729774.8788462,3166,415038.1875
1700729790.1253417,3189,345122.0
1700729805.5077817,3212,463394.375
1700729820.2787519,3233,476779.25
1700729834.8898928,3257,307116.8125
1700729850.427536,3280,334113.8125
1700729866.1728601,3302,565832.0
1700729879.687565,3323,331274.8125
1700729896.2020798,3346,361717.0625
1700729910.4490721,3368,224081.1875
1700729925.7509186,3388,292377.625
1700729940.743732,3412,450303.09375
1700729954.652418,3433,769298.25
1700729970.375887,3459,274771.84375
1700729985.4453788,3479,364975.875
1700730000.3692195,3503,240307.75
1700730014.6600947,3526,307598.46875
1700730030.3347924,3549,601852.25
1700730045.7447054,3572,429029.09375
1700730059.9015481,3593,211146.59375
1700730074.8647218,3617,453006.8125
1700730090.5172877,3639,223603.3125
1700730104.9456396,3663,414921.875
1700730119.93123,3685,384216.6875
1700730135.9526508,3710,314306.5
1700730150.2333927,3731,326611.5
1700730166.0153868,3754,769364.6875
1700730180.2113078,3777,450652.90625
1700730195.0594196,3799,280327.4375
1700730210.5147014,3823,534346.1875
1700730225.5560083,3842,440765.25
1700730240.4843113,3865,220010.5625
1700730255.2947645,3887,245519.1875
1700730270.389193,3912,288052.71875
1700730284.8282971,3934,331963.46875
1700730301.1185846,3958,201957.65625
1700730314.8247714,3978,304340.75
1700730329.6599522,4001,276238.53125
1700730346.2395873,4025,241660.375
1700730359.6959445,4045,398682.21875
1700730375.308291,4069,440396.65625
1700730390.1079826,4090,281351.0625
1700730404.5656168,4114,631503.375
1700730419.995425,4135,182174.21875
1700730436.460569,4159,257395.234375
1700730449.8240268,4181,197189.3125
1700730465.8651657,4205,378746.375
1700730479.486468,4226,214745.6875
1700730494.555987,4248,258810.15625
1700730509.8459792,4271,168991.78125
1700730524.6810586,4292,321502.5625
1700730540.1828487,4315,488424.5625
1700730554.7524397,4338,245522.0
1700730569.8062077,4359,196902.890625
1700730585.2412696,4382,244621.53125
1700730600.5466442,4398,287796.375
1700730614.6555967,4421,530691.875
1700730630.3814101,4441,141933.6875
1700730645.0122142,4463,260037.65625
1700730659.9257374,4486,239957.84375
1700730675.3985627,4509,435861.8125
1700730689.60673,4530,471468.0
1700730704.6240506,4552,350262.125
1700730720.555164,4573,242002.78125
1700730735.3238811,4597,299110.09375
1700730751.3012726,4611,164855.34375
1700730765.0690732,4629,474842.6875
1700730779.8230617,4651,263409.375
1700730794.8965707,4673,280851.8125
1700730810.1804762,4695,402001.375
1700730824.4878826,4716,254983.546875
1700730842.4335482,4736,210567.125
1700730854.6458836,4754,188287.25
1700730871.9871695,4774,324700.84375
1700730884.7774894,4794,209313.4375
1700730900.215441,4812,267185.5
1700730914.6780407,4832,339954.28125
1700730929.9821637,4848,346750.375
1700730945.2741535,4869,269405.21875
1700730960.400223,4880,488667.0
1700730975.2388024,4896,217496.6875
1700730991.0299659,4915,211832.953125
1700731004.7184327,4932,270022.78125
1700731019.8878748,4951,375762.6875
1700731035.31214,4973,375715.0625
1700731049.9879425,4989,259544.125
1700731066.6989264,5011,179845.25
1700731080.1518269,5023,445641.40625
1700731094.5286832,5044,291670.625
1700731110.2405689,5062,146723.59375
1700731124.7018433,5078,273382.5
1700731140.2516418,5089,158141.453125
1700731155.3786447,5108,315448.375
1700731171.5536718,5129,143973.5
1700731186.2033825,5144,297497.75
1700731200.1720486,5162,222025.640625
1700731214.645668,5181,508430.03125
1700731229.838701,5194,245172.171875
1700731244.6000419,5216,294293.125
1700731260.7733884,5233,190520.5
1700731274.6682467,5257,181262.625
1700731289.6619406,5272,237957.78125
1700731304.7306154,5294,376612.625
1700731320.5446272,5310,185784.71875
1700731334.5140445,5326,326853.8125
1700731350.1719127,5343,273894.4375
1700731365.0297241,5362,223077.765625
1700731379.5786164,5382,173875.84375
1700731395.2365212,5400,392593.03125
1700731410.0628636,5409,432432.34375
1700731424.404258,5426,341773.6875
1700731440.322313,5446,241463.5
1700731455.0768118,5466,242512.78125
1700731469.4889765,5481,399325.1875
1700731485.4873595,5499,167781.46875
1700731499.7728972,5508,232482.828125
1700731514.68176,5528,190999.0
1700731529.552718,5549,184738.84375
1700731544.7704277,5569,167712.90625
1700731560.1285307,5586,214128.46875
1700731574.574649,5607,191613.328125
1700731590.5205321,5625,179224.1875
1700731604.5834072,5639,223424.5
1700731619.909824,5659,196116.953125
1700731634.5920906,5679,292680.09375
1700731649.9813092,5691,440102.875
1700731666.2796404,5706,193237.25
1700731679.4027998,5726,311657.46875
1700731694.7462013,5745,351225.21875
1700731710.331618,5760,239472.4375
1700731725.1294386,5779,370245.75
1700731739.6293252,5799,189592.8125
1700731755.3652694,5818,198451.65625
1700731770.3286824,5833,325842.0625
1700731784.6471908,5855,156583.828125
1700731800.9560328,5875,248973.15625
1700731814.7330847,5891,151758.59375
1700731830.0551732,5909,359702.25
1700731844.6286585,5925,193015.8125
1700731861.140608,5941,212032.078125
1700731875.2067573,5961,127346.7734375
1700731890.5423775,5975,171362.5
1700731905.204068,5998,228609.203125
1700731923.8937123,6012,216636.296875
1700731935.2932477,6028,219076.125
1700731949.6409912,6039,145675.296875
1700731965.3954592,6058,209079.6875
1700731979.4503186,6081,311302.3125
1700731995.004304,6102,223948.375
1700732011.6202652,6122,250616.28125
1700732024.5329237,6141,310298.1875
1700732040.0590234,6156,270298.5
1700732055.215524,6174,237902.921875
1700732070.1237466,6194,283042.3125
1700732084.6072497,6216,206877.15625
1700732099.9898915,6238,232575.90625
1700732114.909664,6259,185020.21875
1700732130.552411,6282,149483.09375
1700732145.2661982,6295,257968.84375
1700732161.0878503,6314,295755.0625
1700732175.3044915,6333,235570.5
1700732190.028334,6349,323293.625
1700732204.908665,6372,519757.0
1700732219.7303338,6387,273302.5625
1700732236.2707787,6403,238766.046875
1700732250.2787223,6419,141338.765625
1700732266.5630643,6441,249124.9375
1700732280.1868272,6459,279060.90625
1700732297.00258,6481,166940.375
1700732311.989695,6498,261551.78125
1700732324.83684,6514,173476.125
1700732339.641383,6524,323555.625
1700732355.9597085,6538,157982.21875
1700732370.1858807,6553,165255.21875
1700732385.5123212,6573,170584.0625
1700732401.3567588,6588,190647.15625
1700732414.6360345,6603,154785.75
1700732429.8003643,6620,188621.109375
1700732444.640624,6638,167646.671875
1700732461.4209626,6657,154854.328125
1700732474.5594673,6670,314506.375
1700732489.5864167,6686,242163.21875
1700732506.2943344,6703,209283.09375
1700732521.9206216,6724,226556.828125
1700732534.6470659,6741,348024.5
1700732550.622761,6760,240092.75
1700732565.3153327,6781,183805.28125
1700732580.1942236,6794,176464.5625
1700732594.9146001,6816,283289.0
1700732609.8084805,6833,247969.65625
1700732624.5349386,6851,321925.4375
1700732640.2704039,6869,175947.4375
1700732655.1297722,6885,134943.09375
1700732670.566854,6901,137583.90625
1700732685.082037,6911,214968.4375
1700732702.108902,6926,159376.21875
1700732715.0791724,6939,138858.953125
1700732730.196715,6953,256105.8125
1700732745.577295,6967,198687.15625
1700732759.9694011,6985,91862.28125
1700732774.5449357,7009,175775.203125
1700732789.7192087,7029,142607.90625
1700732805.4039457,7050,181408.9375
1700732822.1975753,7070,238203.21875
1700732835.2468972,7080,166255.984375
1700732849.8221521,7097,291120.75
1700732865.6900225,7116,240470.0
1700732881.8229518,7136,178231.59375
1700732895.1864088,7148,192792.6875
1700732911.5374572,7168,258620.875
1700732924.7826,7179,160088.125
1700732940.2813885,7192,373833.5
1700732955.4773157,7206,228893.0
1700732969.586632,7221,347169.0625
1700732985.0055654,7241,175394.75
1700732999.6668382,7261,197578.40625
1700733015.2013593,7278,281190.5
1700733030.8139899,7294,111613.8828125
1700733044.8425395,7312,178778.171875
1700733059.6192007,7335,250259.84375
1700733075.1817434,7351,356003.5
1700733089.5647738,7368,171348.859375
1700733104.895099,7389,183664.71875
1700733119.7865665,7403,127808.484375
1700733134.9255188,7422,251661.8125
1700733149.947927,7441,415934.84375
1700733165.137018,7460,140049.53125
1700733180.2090504,7483,134245.15625
1700733194.5316827,7498,328044.125
1700733210.32967,7512,122419.9375
1700733225.2453523,7528,290699.3125
1700733242.1377013,7550,291754.1875
1700733254.6809597,7561,222940.859375
1700733269.9491367,7583,101402.3359375
