Wall time,Step,Value
1700737737.8127043,0,10152464.0
1700737740.4340148,1,29007414.0
1700737748.3646572,4,7080633.0
1700737764.3325527,12,6667496.0
1700737777.9748752,18,8096551.5
1700737798.082006,31,3867686.5
1700737807.3019211,42,4279064.0
1700737822.4881964,55,3573315.5
1700737838.3438663,70,2428456.0
1700737852.311752,87,3817866.0
1700737867.4090037,101,1091347.0
1700737883.2596152,117,1271952.0
1700737897.1166248,135,2229246.25
1700737912.2628217,151,1523087.25
1700737927.5561569,170,1673733.0
1700737942.8745909,182,1899303.0
1700737958.2398932,201,1173915.25
1700737973.0862072,215,2347038.0
1700737987.083389,233,1589998.25
1700738002.0669248,246,1234637.25
1700738018.4315825,266,1595163.625
1700738032.9533124,280,2323589.5
1700738047.0696821,300,3460178.0
1700738062.1191707,317,1593278.5
1700738080.652359,333,1016523.75
1700738097.2981727,349,1934606.75
1700738107.0465717,357,1685637.75
1700738122.6563723,376,4199779.0
1700738138.951253,394,1179597.125
1700738153.885875,410,1833748.25
1700738167.4744432,435,5358625.0
1700738183.326373,450,1016143.8125
1700738201.3017294,472,1308808.375
1700738211.9534483,489,1632598.25
1700738227.1548104,509,1857797.75
1700738242.7660458,520,1187037.875
1700738257.1243362,540,920401.4375
1700738272.0385716,556,1347977.75
1700738287.1401107,570,2110471.0
1700738303.8086703,593,1626129.5
1700738317.1623056,606,2269376.0
1700738332.2870398,628,882046.5
1700738348.1447608,644,1518921.5
1700738362.5207658,664,1333136.125
1700738376.965829,683,1690499.875
1700738392.4559233,704,1487840.125
1700738407.5878663,727,1260885.5
1700738423.113118,743,1298824.25
1700738438.404569,764,825207.5625
1700738453.1710825,786,1232473.75
1700738467.8275876,811,1324934.875
1700738482.026781,827,1229483.25
1700738497.019373,847,892187.0
1700738511.9196198,874,1515061.0
1700738527.07202,891,1060832.375
1700738541.9805775,917,1542223.375
1700738557.9655907,939,2237989.75
1700738576.2839336,958,1119277.25
1700738586.9149177,975,1075697.375
1700738602.8700626,994,934765.3125
1700738617.6908624,1017,1845913.0
1700738634.051859,1035,1825375.5
1700738646.985837,1057,1357949.0
1700738662.614832,1070,1294735.5
1700738677.5726633,1094,2350099.25
1700738692.0419552,1116,1246203.0
1700738708.2771237,1134,665748.3125
1700738722.8848262,1155,842721.5
1700738737.2302668,1179,1451847.375
1700738752.3133032,1200,1069837.5
1700738767.698147,1217,1113585.25
1700738783.3379698,1232,1259297.875
1700738796.9615533,1256,1027588.9375
1700738813.1359637,1273,793123.125
1700738827.0027342,1294,1836366.25
1700738842.1071408,1315,1036452.125
1700738856.8697789,1336,924056.625
1700738872.0035887,1354,1795400.0
1700738887.138663,1376,1366853.5
